# Assembly name:  Release 6 plus ISO1 MT
# Description:    Release 6 plus ISO1 mitochondrial genome
# Organism name:  Drosophila melanogaster (fruit fly)
# Taxid:          7227
# BioSample:      SAMN02803731
# BioProject:     PRJNA13812
# Submitter:      The FlyBase Consortium/Berkeley Drosophila Genome Project/Celera Genomics
# Date:           2014-08-01
# Synonyms:       dm6	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001215.4
# RefSeq assembly accession: GCF_000001215.4
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001625.3	GCF_000001625.3	Primary Assembly
## GCA_000738905.1	GCF_000738905.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
X	assembled-molecule	X	Chromosome	AE014298.5	=	NC_004354.4	Primary Assembly	23542271	chrX
2L	assembled-molecule	2L	Chromosome	AE014134.6	=	NT_033779.5	Primary Assembly	23513712	chr2L
2R	assembled-molecule	2R	Chromosome	AE013599.5	=	NT_033778.4	Primary Assembly	25286936	chr2R
3L	assembled-molecule	3L	Chromosome	AE014296.5	=	NT_037436.4	Primary Assembly	28110227	chr3L
3R	assembled-molecule	3R	Chromosome	AE014297.3	=	NT_033777.3	Primary Assembly	32079331	chr3R
4	assembled-molecule	4	Chromosome	AE014135.4	=	NC_004353.4	Primary Assembly	1348131	chr4
Y	assembled-molecule	Y	Chromosome	CP007106.1	=	NC_024512.1	Primary Assembly	3667352	chrY
X3X4_mapped_Scaffold_6_D1712	unlocalized-scaffold	X	Chromosome	CP007103.1	=	NW_007931105.1	Primary Assembly	33320	chrX_CP007103v1_random
X3X4_mapped_Scaffold_14_D1732	unlocalized-scaffold	X	Chromosome	CP007104.1	=	NW_007931106.1	Primary Assembly	27447	chrX_CP007104v1_random
211000022278498	unlocalized-scaffold	X	Chromosome	DS483648.1	=	NW_001844937.1	Primary Assembly	13940	chrX_DS483648v1_random
211000022279009	unlocalized-scaffold	X	Chromosome	DS483655.1	=	NW_001844944.1	Primary Assembly	13549	chrX_DS483655v1_random
211000022280042	unlocalized-scaffold	X	Chromosome	DS483660.1	=	NW_001844949.1	Primary Assembly	13394	chrX_DS483660v1_random
211000022279446	unlocalized-scaffold	X	Chromosome	DS483665.1	=	NW_001844954.1	Primary Assembly	13234	chrX_DS483665v1_random
