# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Dmel_CG10260	Dmel_CG10260	NM_001272262.2	protein_coding	5	0	0	11	2	0	0	0	0	0	2	5	0	3	0	0	0	0	0	0	0	4	0	0	0	7
Dmel_CG10260	Dmel_CG10260	NM_130658.3	protein_coding	5	0	0	11	0	0	0	0	0	0	4	5	0	3	0	0	0	0	0	0	0	4	0	0	0	7
Dmel_CG10347	Dmel_CG10347	NM_132527.2	protein_coding	0	0	0	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Dmel_CG10347	Dmel_CG10347	NM_167310.2	protein_coding	0	0	0	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Dmel_CG10352	Dmel_CG10352	NM_001272539.2	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmel_CG10353	Dmel_CG10353	NM_001258704.1	protein_coding	1	0	0	12	0	0	0	0	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	0	0	10
Dmel_CG10353	Dmel_CG10353	NM_001272540.1	protein_coding	1	0	0	13	0	0	0	0	0	0	0	1	4	1	0	0	1	0	1	0	0	0	0	0	0	10
Dmel_CG10353	Dmel_CG10353	NM_001272541.2	protein_coding	1	1	0	14	0	1	0	0	0	0	0	0	4	0	0	1	1	0	2	0	0	0	0	0	0	10
Dmel_CG10353	Dmel_CG10353	NM_001272543.1	protein_coding	1	1	0	14	0	2	0	0	0	0	0	0	3	0	0	1	1	0	2	0	0	0	0	0	0	10
Dmel_CG10353	Dmel_CG10353	NM_001272544.2	protein_coding	1	0	0	12	0	0	0	0	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	0	0	10
Dmel_CG10353	Dmel_CG10353	NM_132534.4	protein_coding	1	1	0	14	0	1	0	0	0	0	0	0	4	0	0	1	1	0	2	0	0	0	0	0	0	10
Dmel_CG10353	Dmel_CG10353	NM_167312.4	protein_coding	1	0	0	13	0	0	0	0	0	0	0	1	4	1	0	0	1	0	1	0	0	0	0	0	0	10
Dmel_CG10362	Dmel_CG10362	NM_132543.2	protein_coding	1	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
Dmel_CG10521	Dmel_CG10521	NM_001169282.1	protein_coding	1	0	0	10	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1
